Range,Mean CPU Time (microseconds)
4,0.948128581004578
5,2.306141500659705
6,5.59612436190594
7,12.895225639862492
8,29.50225520526907
9,66.23982917808173
10,146.92338310640397
11,324.87924802785056
12,714.0676710633376
13,1558.267220535267
14,3385.4590555556524
15,7346.730937369054
16,15984.240052274468
17,34529.835915004696
18,74304.83236109164
19,159967.68024999712
20,356863.92169986904
21,948049.9451997274
22,2134436.9050501883
23,4608732.992599835
24,9821736.27759994
25,20521471.700999793
26,43032324.364699975
27,90174444.67919978
28,194420731.4512003
