Algorithm,Instance,Mean Time (ms)
AURORA_PROVER_CANTOR_BASIS,9,326.664024
AURORA_PROVER_CANTOR_BASIS,10,660.575471
AURORA_PROVER_CANTOR_BASIS,11,1354.483001
AURORA_PROVER_CANTOR_BASIS,12,2748.820924
AURORA_PROVER_CANTOR_BASIS,13,5674.937994
AURORA_PROVER_CANTOR_BASIS,14,11648.714376
AURORA_PROVER_CANTOR_BASIS,15,24467.807744
AURORA_PROVER_CANTOR_BASIS,16,49874.776747
AURORA_PROVER_CANTOR_BASIS,17,102261.021508
AURORA_PROVER_CANTOR_BASIS,18,216107.948945
