Range,Mean CPU Time (microseconds)
10,130.24376417979946
11,129.67936113609903
12,129.74874090609956
13,129.77220120580023
14,129.82452239139965
15,129.9037157105995
16,129.9802614744025
17,130.68237362829825
18,276.2887727179011
19,274.32444777889907
20,275.6154173408984
21,275.439468706098
22,276.78461379149815
23,276.69271515909935
24,276.12328117219727
25,275.1767762714997
