Range,Mean CPU Time (microseconds)
10,7.946413508199999
11,9.339327452000004
12,9.399148555299995
13,9.468365328300012
14,11.816107725699977
15,11.888863398200009
16,11.964709557500058
17,12.005486173800046
18,13.765037797099922
19,14.652646711499939
20,14.702784227500114
21,16.117099517600035
22,16.124729152799954
23,18.91153786569994
24,18.989661866999995
25,19.136258813500262
